"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","3200195","107","1066731"
"создание и поддержка интеллектуальных медиасистем","7436311","75","3718155"
"телефония","6859873","74","3429936"
"создание виртуального офиса","3604581","252","1802290"
"организация резервного копирования","8030803","150","2676934"
"администрирование сетей и серверов","9258325","313","3086108"
"техническая поддержка рабочих станций и ИТ сервисов","875849","220","437924"
"веб-разработка","3258389","74","1086129"
"создание мобильных систем","7853277","319","3926638"
"создание и обслуживание систем контроля доступа к портам и устройствам","4012731","108","2006365"
"организацию антивирусной защиты","6341794","50","3170897"
"решения касающиеся сетевой безопасности и отражения угроз","5336633","99","1778877"
"организация систем видеонаблюдения","8627867","183","2875955"
"построение и обслуживание структурированных кабельных систем (СКС)","1632529","70","816264"
"создание и поддержка интеллектуальных медиасистем","4230161","284","2115080"
"телефония","9614696","194","3204898"
"создание виртуального офиса","8696982","300","4348491"
"организация резервного копирования","8164874","357","2721624"
"администрирование сетей и серверов","9988593","285","4994296"
"техническая поддержка рабочих станций и ИТ сервисов","5379225","180","1793075"
"веб-разработка","3553498","83","1776749"
"создание мобильных систем","9507792","273","3169264"
"создание и обслуживание систем контроля доступа к портам и устройствам","2978995","107","1489497"
"организацию антивирусной защиты","6383681","112","3191840"
"решения касающиеся сетевой безопасности и отражения угроз","7399989","187","2466663"
"организация систем видеонаблюдения","3462198","223","1731099"
"построение и обслуживание структурированных кабельных систем (СКС)","6460925","357","3230462"
"создание и поддержка интеллектуальных медиасистем","189777","27","63259"
"телефония","854080","150","427040"
"создание виртуального офиса","2666757","143","888919"
"организация резервного копирования","6526656","47","3263328"
"администрирование сетей и серверов","7982627","244","2660875"
"техническая поддержка рабочих станций и ИТ сервисов","6354870","239","3177435"
"веб-разработка","8265180","184","2755060"
"создание мобильных систем","5858993","343","1952997"
"создание и обслуживание систем контроля доступа к портам и устройствам","7273080","308","3636540"
"организацию антивирусной защиты","8810745","62","4405372"
"решения касающиеся сетевой безопасности и отражения угроз","5093398","33","2546699"
"организация систем видеонаблюдения","7372628","220","3686314"
"построение и обслуживание структурированных кабельных систем (СКС)","4708303","186","1569434"
"создание и поддержка интеллектуальных медиасистем","2403731","266","801243"
"телефония","6502256","360","2167418"
"создание виртуального офиса","4146687","33","2073343"
"организация резервного копирования","6564788","267","3282394"
"администрирование сетей и серверов","8040775","290","4020387"
"техническая поддержка рабочих станций и ИТ сервисов","5660328","341","2830164"
"веб-разработка","3814893","203","1907446"
"создание мобильных систем","6391984","147","3195992"
"создание и обслуживание систем контроля доступа к портам и устройствам","2260217","91","1130108"
"организацию антивирусной защиты","9275457","158","3091819"
"решения касающиеся сетевой безопасности и отражения угроз","4364284","255","2182142"
"организация систем видеонаблюдения","4258111","133","1419370"
"построение и обслуживание структурированных кабельных систем (СКС)","1334487","358","444829"
"создание и поддержка интеллектуальных медиасистем","7486786","359","3743393"
"телефония","8252388","275","4126194"
"создание виртуального офиса","4386655","332","2193327"
"организация резервного копирования","2882339","205","1441169"
"администрирование сетей и серверов","496766","102","165588"
"техническая поддержка рабочих станций и ИТ сервисов","6050228","330","2016742"
"веб-разработка","299044","133","149522"
"создание мобильных систем","3660254","116","1830127"
"создание и обслуживание систем контроля доступа к портам и устройствам","5929838","132","2964919"
"организацию антивирусной защиты","7494090","265","3747045"
"решения касающиеся сетевой безопасности и отражения угроз","8640360","243","2880120"
"организация систем видеонаблюдения","7256210","175","2418736"
"построение и обслуживание структурированных кабельных систем (СКС)","523067","28","174355"
"создание и поддержка интеллектуальных медиасистем","9309006","83","4654503"
"телефония","1975200","303","658400"
"создание виртуального офиса","833372","87","277790"
"организация резервного копирования","6820248","38","2273416"
"администрирование сетей и серверов","9855148","145","3285049"
"техническая поддержка рабочих станций и ИТ сервисов","4716970","118","1572323"
"веб-разработка","7566868","211","2522289"
"создание мобильных систем","5141355","300","2570677"
"создание и обслуживание систем контроля доступа к портам и устройствам","2695308","336","898436"
"организацию антивирусной защиты","2171586","191","723862"
"решения касающиеся сетевой безопасности и отражения угроз","1473722","68","736861"
"организация систем видеонаблюдения","2535820","359","845273"
"построение и обслуживание структурированных кабельных систем (СКС)","721968","109","240656"
"создание и поддержка интеллектуальных медиасистем","8767603","306","4383801"
"телефония","8670815","357","2890271"
"создание виртуального офиса","9435430","162","4717715"
"организация резервного копирования","2725385","273","908461"
"администрирование сетей и серверов","6975434","151","2325144"
"техническая поддержка рабочих станций и ИТ сервисов","825101","166","275033"
"веб-разработка","2040507","167","680169"
"создание мобильных систем","6441654","187","2147218"
"создание и обслуживание систем контроля доступа к портам и устройствам","223303","207","111651"
"организацию антивирусной защиты","3128276","225","1564138"
"решения касающиеся сетевой безопасности и отражения угроз","1759877","319","586625"
"организация систем видеонаблюдения","6483707","243","3241853"
"построение и обслуживание структурированных кабельных систем (СКС)","5943661","109","1981220"
"создание и поддержка интеллектуальных медиасистем","7840114","243","3920057"
"телефония","7822134","350","3911067"
"создание виртуального офиса","7097593","187","2365864"
"организация резервного копирования","8633406","120","2877802"
"администрирование сетей и серверов","2670336","352","1335168"
"техническая поддержка рабочих станций и ИТ сервисов","3530352","224","1765176"
"веб-разработка","8556655","352","2852218"
"создание мобильных систем","9242482","258","3080827"
"создание и обслуживание систем контроля доступа к портам и устройствам","6043441","208","2014480"
"организацию антивирусной защиты","7002446","37","2334148"
"решения касающиеся сетевой безопасности и отражения угроз","1845615","363","922807"
"организация систем видеонаблюдения","7897874","235","3948937"
"построение и обслуживание структурированных кабельных систем (СКС)","145943","237","48647"
"создание и поддержка интеллектуальных медиасистем","8638386","347","2879462"
"телефония","536967","279","178989"
"создание виртуального офиса","5134429","286","2567214"
"организация резервного копирования","7407265","242","3703632"
"администрирование сетей и серверов","9335522","276","4667761"
"техническая поддержка рабочих станций и ИТ сервисов","7227714","145","2409238"
"веб-разработка","7379759","241","2459919"
"создание мобильных систем","8482246","259","4241123"
"создание и обслуживание систем контроля доступа к портам и устройствам","3932805","36","1966402"
"организацию антивирусной защиты","4253790","95","2126895"
"решения касающиеся сетевой безопасности и отражения угроз","153360","22","76680"
"организация систем видеонаблюдения","5014558","76","2507279"
