"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"построение и обслуживание структурированных кабельных систем (СКС)","3357895","199","1119298"
"создание и поддержка интеллектуальных медиасистем","4183864","295","1394621"
"телефония","7446765","95","3723382"
"создание виртуального офиса","7102501","319","2367500"
"организация резервного копирования","5990024","161","1996674"
"администрирование сетей и серверов","4678996","64","1559665"
"техническая поддержка рабочих станций и ИТ сервисов","9501741","98","3167247"
"веб-разработка","8954168","33","2984722"
"создание мобильных систем","5503547","93","1834515"
"создание и обслуживание систем контроля доступа к портам и устройствам","6430746","219","2143582"
"организацию антивирусной защиты","7745666","256","2581888"
"решения касающиеся сетевой безопасности и отражения угроз","5127021","237","2563510"
"организация систем видеонаблюдения","4723012","117","2361506"
"построение и обслуживание структурированных кабельных систем (СКС)","9960302","14","4980151"
"создание и поддержка интеллектуальных медиасистем","5928138","220","1976046"
